"Site_Code","Point_Type","Tree_Num","Watershed","Latitude","Longitude","X.UTM","Y.UTM","Horz_Prec","Count.medium","Count.small","Unhealthy_Site","Cow_Damage","Site_Notes","Site_Notes.2019","Elevation","Cos.aspect","Slope","Summer.Insolation","Count.adult.dead","Count.adult.damaged","DBH.center","DBH.mean","Basal.area.density","Plot.radius","Soil.type","Canopy_openness","Geologic.Unit","Fraction.Organic","d15N","d13C","fracN","fracC","Genotype","Ploidy_level"
"ABEY","Grid",34,"Middle East River",38.9509279,-106.96449,329766.859736411,4313166.07334167,1.1,2,15,0,0,"NA","",3090.39823759553,-0.980413255037491,25.8937494151785,24.8701667785645,2,0,26.7,15.3818181818182,0.0170990805840995,4.3,"Soil",4,"Tg",NA,-1.06670704,-25.81210624,2.58921643286573,49.6791487975952,"ABEY_034_18","Diploid"
"ABPZ","Grid",76,"Washington Gulch-Slate River",38.9216046,-106.99433,327109.631529365,4309967.83848618,0.5,0,1,0,0,"Half canopy gone after sampling; Site very wet","",3014.48465732445,-0.776137067408586,19.093112154201,23.0928077697754,1,2,11.5,21.2363636363636,0.0210421810699588,5.4,"Soil",3,"Qt",NA,NA,NA,NA,NA,"ABPZ_076_18","Triploid"
"ABVE","Grid",221,"Oh-be-Joyful Creek-Slate River",38.9087075,-107.02276,324613.034874096,4308590.77231573,0.9,0,0,0,0,"NA","",2776.85586725337,-0.636077716367705,24.1109831899576,22.6224727630615,0,0,17.1,18.4,0.0125949617346939,5.6,"Talus",5,"Ql",0.0640404206375287,NA,NA,NA,NA,"ABVE_221_18","Triploid"
"ACFL","Grid",31,"Middle East River",38.9508851,-106.96529,329697.427405791,4313162.81849776,1.2,1,7,0,0,"NA","",3082.48102433438,-0.981657988477656,23.4294811132449,24.5642375946045,0,0,11.9,15.0545454545455,0.0166530636525877,4.1,"Talus",4,"Tg",NA,-0.80077424,-26.3356556,3.05356790123457,50.6613333333333,"ACFL_031_18","Triploid"
"ACGNT01","Random",497,"Middle East River",38.9799423,-106.99755,326972.4253226,4316448.5266888,1.2,0,34,0,0,"Avery campground near trail","",2990.49961964719,-0.367124412808791,16.9998835555858,21.431827545166,0,0,36.3,33.2571428571429,0.0191152662721893,6.5,"Talus",3,"Qm",NA,NA,NA,NA,NA,"ACGNT01","Triploid"
"AEBVG","Random",419,"Coal Creek",38.8572628,-107.06361,320941.59758648,4302960.59327264,0.9,17,14,0,0,"NA","",2998.31893139829,-0.688123057548107,24.7801482368689,23.5482521057129,0,2,25.2,14.2363636363636,0.0096840877914952,5.4,"Scree",3,"Tp",NA,NA,NA,NA,NA,"AEBVG_419_18",NA
"AFOG","Grid",113,"Washington Gulch-Slate River",38.9227165,-106.99445,327101.927605476,4310091.46909306,1.2,1,7,0,0,"NA","",3038.44912436466,-0.761077734120201,14.8336594041539,22.4564609527588,3,2,33.5,24.99,0.0156528179995545,6.7,"Soil",3,"Qt",0.0596167064246149,NA,NA,NA,NA,"AFOG_113_18","Triploid"
"AGXLZ","Random",327,"Washington Gulch-Slate River",38.922501,-106.99162,327346.757674397,4310062.18784653,0.8,1,4,0,0,"GROUND NESTING BEES AT ~270 DEGREES, 2M FROM CENTER TREE","",3097.72397142707,-0.799952761691742,26.1009579712373,23.8570365905762,1,0,19,17.6181818181818,0.0282729938271605,3.6,"Talus",5,"Qt",0.219893237700694,NA,NA,NA,NA,"AGXLZ","Triploid"
"AHQT","Grid",229,"Oh-be-Joyful Creek-Slate River",38.9105838,-107.02253,324637.598129671,4308798.56937227,0.9,0,0,0,0,NA,"",2816.8105873408,-0.707160939518721,11.4669491697239,21.77077293396,4,0,39.9,25.47,0.0311449812578092,4.9,"Soil",5,"Ql",NA,NA,NA,NA,NA,"AHQT_229_18","Triploid"
"AHUK","Grid",131,"Washington Gulch-Slate River",38.9231082,-106.99543,327017.91609118,4310136.80084931,0.6,0,0,0,0,"NA","",3032.92708079664,-0.700164154290074,15.7363162601072,22.3068313598633,4,0,18.5,19.1818181818182,0.0138647222222222,6,"Soil",4,"Qt",NA,NA,NA,NA,NA,"AHUK_131_18",NA
